player,team,stage
Tom (c66),ENG,quarter
Tom (c66),FRA,R32
Tom (c66),FRA,R16
Tom (c66),FRA,quarter
Tom (c66),FRA,semi
Tom (c66),FRA,third
Tom (c66),GER,R32
Tom (c66),GER,R16
Tom (c66),JPN,R32
Tom (c66),MEX,R32
Tom (c66),MEX,R16
Tom (c66),MAR,R32
Tom (c66),NED,R32
Tom (c66),NOR,R32
Tom (c66),NOR,R16
Tom (c66),POR,R32
Tom (c66),POR,R16
Tom (c66),POR,quarter
Tom (c66),POR,semi
Tom (c66),POR,final
Tom (c66),POR,winner
Tom (c66),RSA,R32
Tom (c66),RSA,R16
Tom (c66),ESP,R32
Tom (c66),ESP,R16
Tom (c66),ESP,quarter
Tom (c66),ESP,semi
Tom (c66),ESP,final
Tom (c66),SWE,R32
Tom (c66),SUI,R32
Tom (c66),USA,R32
BlueLaGoons,ALG,R32
BlueLaGoons,ALG,R16
BlueLaGoons,ALG,quarter
BlueLaGoons,ARG,R32
BlueLaGoons,AUS,R32
BlueLaGoons,AUT,R32
BlueLaGoons,BEL,R32
BlueLaGoons,BEL,R16
BlueLaGoons,BEL,quarter
BlueLaGoons,BEL,semi
BlueLaGoons,BRA,R32
BlueLaGoons,BRA,R16
BlueLaGoons,CAN,R32
BlueLaGoons,COL,R32
BlueLaGoons,CRO,R32
BlueLaGoons,CRO,R16
BlueLaGoons,ECU,R32
BlueLaGoons,ECU,R16
BlueLaGoons,EGY,R32
BlueLaGoons,EGY,R16
BlueLaGoons,ENG,R32
BlueLaGoons,ENG,R16
BlueLaGoons,ENG,quarter
BlueLaGoons,ENG,semi
BlueLaGoons,ENG,final
BlueLaGoons,ENG,winner
BlueLaGoons,FRA,R32
BlueLaGoons,FRA,R16
BlueLaGoons,FRA,quarter
BlueLaGoons,GER,R32
BlueLaGoons,GHA,R32
BlueLaGoons,GHA,R16
BlueLaGoons,CIV,R32
BlueLaGoons,CIV,R16
BlueLaGoons,JPN,R32
BlueLaGoons,MEX,R32
BlueLaGoons,MAR,R32
BlueLaGoons,MAR,R16
BlueLaGoons,NED,R32
BlueLaGoons,NOR,R32
BlueLaGoons,NOR,R16
BlueLaGoons,NOR,quarter
BlueLaGoons,NOR,semi
BlueLaGoons,NOR,third
BlueLaGoons,PAR,R32
BlueLaGoons,POR,R32
BlueLaGoons,SEN,R32
BlueLaGoons,ESP,R32
BlueLaGoons,ESP,R16
BlueLaGoons,ESP,quarter
